player_id;player_name;position;matches_played;matches_started;minutes_played;minutes_per_match;goals;goals_per_match;assists;assists_per_match;yellow_cards;red_cards;total_cards;cards_per_match;penalty_goals;own_goals;clean_sheets;saves;goals_conceded;save_percentage
535;Guus Berend Til;MID;1;0;31;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
536;Noa Noëll Lang;FWD;2;0;7;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
537;Donyell Malen;FWD;3;3;188;63;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
538;Brian Ebenezer Adjei Brobbey;FWD;4;3;225;75;3;0,75;0;0,0;0;0;0;0,0;0;0;;;;
539;Teun Koopmeiners;MID;4;0;118;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
540;Frenkie De Jong;MID;4;4;331;83;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
541;Denzel Justus Morris Dumfries;DEF;4;4;390;98;0;0,0;2;0,5;0;0;0;0,0;0;0;;;;
542;Mark Maria Hubertus Flekken;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
543;Crysencio Jilbert Sylverio Cir Summerville;FWD;4;2;252;126;2;0,5;2;0,5;1;0;1;0,25;0;0;;;;
544;Jorrel Evan Hato;DEF;1;0;34;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
545;Quinten Ryan Crispito Timber;MID;2;0;54;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
546;Zion Suzuki;GK;4;4;360;90;0;0,0;0;0,0;0;0;0;0,0;0;0;1,0;11,0;5,0;68,8
547;Yukinari Sugawara;DEF;4;1;145;145;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
548;Shogo Taniguchi;DEF;3;2;231;116;0;0,0;0;0,0;1;0;1;0,33;0;0;;;;
549;Kou Itakura;DEF;2;2;129;65;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
550;Yuto Nagatomo;DEF;1;0;15;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
551;Shuto Machino;FWD;1;0;12;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
552;Ao Tanaka;MID;3;2;192;96;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
553;Takefusa Kubo;MID;1;1;75;75;0;0,0;1;1,0;0;0;0;0,0;0;0;;;;
554;Keisuke Goto;FWD;1;0;6;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
555;Ritsu Doan;MID;4;4;281;70;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
556;Daizen Maeda;MID;3;3;246;82;1;0,33;0;0,0;0;0;0;0,0;0;0;;;;
557;Keisuke Osako;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
